Hour	Heat source [kW]
1498	0.035551903
1499	0.032723113
1500	0.028659721
1501	0.032011741
1502	0.051506007
1503	0.067584796
1504	0.087643483
1505	0.061974531
1506	0.075599142
1507	0.062093093
1508	0.03959303
1509	0.026466045
1510	0.013115296
1511	0.004880524
1512	0.004939527
1513	0.005857965
1514	0.005079797
1515	0.008216959
1516	0.012664426
1517	0.021218702
1518	0.027147359
1519	0.025364476
1520	0.026531171
1521	0.018004726
1522	0.02095152
1523	0.025488048
1524	0.023775857
1525	0.032389136
1526	0.030267266
1527	0.041992102
1528	0.044502499
1529	0.033825239
1530	0.023017728
1531	0.026152663
1532	0.037327549
1533	0.028668627
1534	0.030915182
1535	0.026261762
1536	0.021183078
1537	0.028783849
1538	0.024637519
1539	0.036697445
1540	0.03015594
1541	0.056114896
1542	0.059093975
1543	0.049862837
1544	0.033792954
1545	0.022104856
1546	0.028140942
1547	0.026211666
1548	0.026039111
1549	0.033284195
1550	0.04329517
1551	0.055679612
1552	0.052915392
1553	0.066020668
1554	0.05234095
1555	0.024246765
1556	0.009843986
1557	0.006557091
1558	0.007047481
1559	0.004880524
1560	0.0060372
1561	0.00390531
1562	0.006208641
1563	0.007469963
1564	0.008538691
1565	0.010518064
1566	0.023052795
1567	0.023840426
1568	0.01735013
1569	0.017099647
1570	0.020239035
1571	0.020659847
1572	0.029443454
1573	0.029690041
1574	0.027827003
1575	0.051354604
1576	0.07176675
1577	0.060823978
1578	0.035463398
1579	0.032469847
1580	0.021497017
1581	0.01215678
1582	0.007047481
1583	0.006710721
1584	0.004390691
1585	0.00390531
1586	0.006208641
1587	0.00597597
1588	0.009473271
1589	0.036757561
1590	0.034115799
1591	0.037325323
1592	0.030164846
1593	0.022187237
1594	0.01562124
1595	0.024500588
1596	0.017219879
1597	0.030432028
1598	0.033258591
1599	0.05471219
1600	0.058028587
1601	0.055755313
1602	0.038563266
1603	0.033339302
1604	0.033030373
1605	0.015527726
1606	0.01111477
1607	0.010286506
1608	0.005488363
1609	0.005369801
1610	0.005079797
1611	0.01033549
1612	0.015830532
1613	0.029284259
1614	0.024660897
1615	0.036210951
1616	0.023790886
1617	0.026624685
1618	0.02095152
1619	0.020417156
1620	0.020389325
1621	0.03337103
1622	0.036308918
1623	0.059895521
1624	0.054660424
1625	0.045617984
1626	0.040564348
1627	0.022862985
1628	0.007886322
1629	0.005901382
1630	0.005125441
1631	0.007320786
1632	0.004390691
1633	0.004881637
1634	0.006208641
1635	0.008963956
1636	0.006830953
1637	0.01650962
1638	0.023584376
1639	0.037325323
1640	0.028608511
1641	0.021458053
1642	0.015906234
1643	0.020070933
1644	0.013911275
1645	0.022954829
1646	0.02931042
1647	0.033254137
1648	0.049944662
1649	0.038623382
1650	0.026659196
1651	0.015876733
1652	0.007169383
1653	0.005245673
1654	0.007047481
1655	0.006710721
1656	0.004390691
1657	0.00390531
