Hour	Heat demand [kW]
1528	0.12156649
1529	0.140499796
1530	0.153288666
1531	0.16581087
1532	0.171855306
1533	0.16114421
1534	0.112366504
1535	0.095033196
1536	0.091577644
1537	0.09426653
1538	0.099299856
1539	0.10929984
1540	0.144555346
1541	0.208921918
1542	0.272455158
1543	0.249755192
1544	0.211544136
1545	0.174588634
1546	0.160310878
1547	0.13425536
1548	0.116066498
1549	0.105655402
1550	0.102144296
1551	0.099566522
1552	0.099255412
1553	0.119988714
1554	0.144033124
1555	0.164477538
1556	0.165288648
1557	0.149055338
1558	0.104599848
1559	0.08706654
1560	0.084466544
1561	0.08269988
1562	0.084277656
1563	0.092177644
1564	0.104966514
1565	0.132710918
1566	0.159044212
1567	0.144366456
1568	0.120710936
1569	0.076344334
1570	0.054944364
1571	0.060133246
1572	0.0684999
1573	0.078388774
1574	0.078733218
1575	0.07772211
1576	0.088099872
1577	0.096933192
1578	0.104344292
1579	0.130922032
1580	0.125888706
1581	0.116444274
1582	0.097688746
1583	0.083433212
1584	0.073099894
1585	0.070399898
1586	0.0835221
1587	0.08158877
1588	0.113088724
1589	0.172966414
1590	0.231044108
1591	0.225566338
1592	0.226688558
1593	0.199944154
1594	0.181388624
1595	0.16276643
1596	0.141888682
1597	0.13162203
1598	0.125555372
1599	0.152988666
1600	0.146344232
1601	0.15972199
1602	0.174455302
1603	0.18996639
1604	0.186299728
1605	0.170799752
1606	0.12014427
1607	0.098666524
1608	0.097966524
1609	0.097877636
1610	0.103055406
1611	0.11092206
1612	0.153688666
1613	0.22761078
1614	0.308455106
1615	0.30676622
1616	0.307421774
1617	0.288688468
1618	0.268688498
1619	0.246866308
1620	0.2139108
1621	0.197844156
1622	0.185933062
1623	0.184544176
1624	0.197155268
1625	0.218666348
1626	0.241910758
1627	0.258410734
1628	0.262488506
1629	0.245699642
1630	0.173699748
1631	0.146522008
1632	0.142744236
1633	0.145599788
1634	0.150366448
1635	0.16307754
1636	0.208510808
1637	0.30382178
1638	0.394866092
1639	0.365499468
1640	0.330977296
1641	0.290266244
1642	0.25815518
1643	0.22263301
1644	0.201677484
1645	0.187455282
1646	0.173610858
1647	0.16997753
1648	0.178566406
1649	0.204566368
1650	0.232655216
1651	0.242310758
1652	0.250666302
1653	0.23482188
1654	0.168510866
1655	0.141444238
1656	0.138477576
